changeover_time,machine_id,sku_from,sku_to,family_from,family_to,standard_minutes,actual_minutes,operator_id,remark
2024-01-17 01:38:00,M27,LRB-004,LFR-003,LRB,LFR,142.1,131.2,OP042,正常
2025-07-29 19:56:00,M11,VEN-011,DRH-018,VEN,DRH,84.8,85.4,OP004,正常
2024-03-30 12:23:00,M28,LFR-020,LRB-010,LFR,LRB,367.0,332.6,OP021,正常
2024-05-04 06:47:00,M23,TLP-008,TLP-023,TLP,TLP,74.0,76.3,OP001,正常
2025-06-06 23:53:00,M06,VEN-026,DRH-011,VEN,DRH,174.1,190.9,OP013,模具故障
2026-03-22 22:43:00,M10,DRH-001,VEN-026,DRH,VEN,212.7,202.3,OP048,工具缺失
2024-10-18 06:25:00,M27,LFR-021,LFR-006,LFR,LFR,42.0,38.6,OP018,正常
2024-12-28 14:36:00,M16,TLM-020,HND-006,TLM,HND,197.6,211.6,OP003,正常
2024-09-18 06:23:00,M25,WLC-013,TLP-014,WLC,TLP,393.0,379.9,OP014,模具故障
2025-10-03 01:57:00,M27,LRB-020,LFR-002,LRB,LFR,400.2,351.0,OP029,正常
2024-05-27 22:22:00,M21,BUM-028,BUM-019,BUM,BUM,31.3,34.3,OP014,正常
2026-01-19 06:22:00,M20,HND-026,HND-028,HND,HND,38.1,37.7,OP039,正常
2025-05-13 08:26:00,M18,HND-020,TLM-005,HND,TLM,144.6,138.9,OP016,正常
2025-04-10 11:18:00,M07,VEN-030,VEN-010,VEN,VEN,42.2,39.9,OP005,正常
2025-12-23 18:13:00,M10,CUP-030,CUP-007,CUP,CUP,15.1,14.2,OP038,物料未到位
2024-04-22 12:51:00,M07,CUP-027,CUP-022,CUP,CUP,33.4,32.3,OP042,模具故障
2024-01-01 17:58:00,M14,BUM-001,BUM-027,BUM,BUM,19.9,19.4,OP024,模具故障
2024-03-27 23:53:00,M27,LFR-002,LRB-014,LFR,LRB,287.3,271.2,OP036,正常
2024-04-14 23:11:00,M03,CUP-010,VEN-001,CUP,VEN,238.2,274.8,OP040,模具故障
2024-06-03 19:27:00,M24,WLC-020,TLP-025,WLC,TLP,220.4,218.4,OP015,正常
2024-06-11 11:32:00,M09,VEN-014,DRH-008,VEN,DRH,133.0,151.9,OP030,工具缺失
2024-10-01 11:04:00,M08,CUP-016,VEN-028,CUP,VEN,142.9,159.5,OP045,工具缺失
2025-06-25 10:05:00,M02,CUP-028,CUP-023,CUP,CUP,38.9,37.4,OP040,物料未到位
2026-01-29 21:18:00,M05,CUP-030,CUP-018,CUP,CUP,40.8,39.8,OP011,物料未到位
2024-11-22 15:50:00,M21,HND-003,HND-024,HND,HND,19.7,22.4,OP018,正常
2024-04-25 13:46:00,M26,LRB-014,LRB-011,LRB,LRB,49.2,54.3,OP001,工具缺失
2024-03-23 11:25:00,M26,LFR-018,LFR-001,LFR,LFR,72.3,88.7,OP048,正常
2024-09-01 04:55:00,M07,CUP-014,CUP-010,CUP,CUP,29.3,25.6,OP018,工具缺失
2025-02-02 17:22:00,M19,HND-011,TLM-005,HND,TLM,169.9,179.5,OP026,正常
2024-06-01 10:24:00,M15,BUM-004,HND-026,BUM,HND,211.9,208.3,OP034,正常
2024-04-28 00:59:00,M05,VEN-029,DRH-018,VEN,DRH,68.7,64.0,OP025,物料未到位
2025-09-23 14:05:00,M25,DUO-015,TLP-024,DUO,TLP,493.0,520.2,OP004,工具缺失
2024-12-30 19:50:00,M26,LFR-014,LFR-010,LFR,LFR,80.8,88.4,OP018,工具缺失
2026-02-22 03:27:00,M11,VEN-006,DRH-017,VEN,DRH,201.3,195.8,OP043,物料未到位
2024-06-17 08:06:00,M25,TLP-001,WLC-007,TLP,WLC,225.9,261.0,OP004,工具缺失
2025-12-23 08:16:00,M29,LRB-016,LFR-005,LRB,LFR,391.4,456.8,OP031,正常
2024-11-27 03:21:00,M17,TLM-022,BUM-002,TLM,BUM,238.4,235.7,OP005,物料未到位
2026-01-18 19:39:00,M29,LRB-003,LRB-001,LRB,LRB,68.0,70.4,OP043,工具缺失
2025-08-19 14:24:00,M05,VEN-026,VEN-015,VEN,VEN,31.3,32.0,OP036,正常
2025-09-05 20:26:00,M21,BUM-015,TLM-014,BUM,TLM,146.5,169.9,OP012,工具缺失
2025-04-06 12:59:00,M01,DRH-015,CUP-030,DRH,CUP,159.1,151.0,OP007,模具故障
2024-03-30 17:41:00,M08,CUP-004,CUP-015,CUP,CUP,35.2,42.8,OP038,正常
2025-01-23 22:19:00,M09,VEN-005,DRH-008,VEN,DRH,187.7,173.4,OP009,正常
2025-04-04 01:45:00,M12,CUP-008,CUP-014,CUP,CUP,40.6,41.9,OP037,模具故障
2024-03-23 14:35:00,M04,CUP-015,DRH-014,CUP,DRH,189.4,169.9,OP036,工具缺失
2025-06-19 08:54:00,M19,TLM-008,BUM-013,TLM,BUM,103.4,111.5,OP019,正常
2025-07-31 03:24:00,M05,VEN-028,VEN-006,VEN,VEN,30.5,27.7,OP044,正常
2025-10-15 04:11:00,M29,LFR-018,LFR-020,LFR,LFR,34.4,31.1,OP002,模具故障
2025-12-15 16:03:00,M24,TLP-010,DUO-009,TLP,DUO,203.7,215.7,OP019,工具缺失
2025-01-14 00:04:00,M04,VEN-019,CUP-016,VEN,CUP,151.8,155.9,OP048,物料未到位
2026-03-02 09:21:00,M15,BUM-017,HND-028,BUM,HND,174.5,193.9,OP020,正常
2025-07-10 11:20:00,M14,TLM-026,HND-028,TLM,HND,125.9,148.5,OP032,正常
2024-09-08 11:31:00,M06,VEN-017,VEN-030,VEN,VEN,40.9,43.1,OP002,正常
2025-08-17 09:37:00,M06,DRH-014,DRH-029,DRH,DRH,20.6,23.3,OP009,工具缺失
2024-10-26 13:11:00,M11,CUP-014,DRH-029,CUP,DRH,234.3,290.5,OP025,正常
2025-09-26 22:39:00,M28,LRB-011,LFR-018,LRB,LFR,169.6,188.2,OP014,正常
2026-03-28 05:50:00,M19,HND-022,BUM-012,HND,BUM,229.6,204.4,OP010,正常
2024-11-16 09:49:00,M21,BUM-017,HND-023,BUM,HND,148.8,145.0,OP009,物料未到位
2025-12-17 04:03:00,M10,DRH-006,CUP-019,DRH,CUP,160.3,159.7,OP021,正常
2026-03-31 08:56:00,M20,TLM-020,TLM-028,TLM,TLM,15.8,18.4,OP046,正常
2024-10-16 05:25:00,M09,VEN-008,CUP-016,VEN,CUP,83.3,95.5,OP040,正常
2024-12-05 10:18:00,M08,VEN-002,VEN-019,VEN,VEN,32.8,38.0,OP042,正常
2025-03-13 19:27:00,M13,VEN-013,VEN-019,VEN,VEN,37.2,40.4,OP045,工具缺失
2025-04-24 07:17:00,M11,DRH-027,CUP-009,DRH,CUP,103.8,99.4,OP023,模具故障
2024-05-11 19:39:00,M28,LRB-002,LRB-001,LRB,LRB,36.7,37.6,OP039,正常
2025-04-01 21:57:00,M03,VEN-027,VEN-017,VEN,VEN,23.5,23.4,OP012,正常
2025-12-08 10:55:00,M11,CUP-026,CUP-024,CUP,CUP,39.5,36.9,OP040,正常
2026-01-17 17:08:00,M25,TLP-012,TLP-006,TLP,TLP,61.6,65.1,OP032,模具故障
2025-10-01 08:52:00,M22,HND-013,TLM-027,HND,TLM,192.3,219.9,OP006,模具故障
2025-02-05 02:31:00,M23,TLP-022,WLC-013,TLP,WLC,325.2,404.0,OP012,正常
2025-03-03 23:57:00,M02,VEN-023,VEN-004,VEN,VEN,42.2,51.0,OP002,模具故障
2024-09-19 07:30:00,M28,LRB-010,LRB-007,LRB,LRB,64.3,79.0,OP030,正常
2024-02-17 21:34:00,M17,BUM-003,HND-003,BUM,HND,99.9,109.7,OP039,正常
2025-10-16 19:31:00,M12,CUP-021,VEN-006,CUP,VEN,163.7,175.2,OP022,工具缺失
2025-12-21 04:22:00,M17,HND-012,BUM-017,HND,BUM,173.9,203.0,OP009,正常
2026-04-19 08:55:00,M28,LFR-005,LRB-007,LFR,LRB,371.1,358.9,OP007,工具缺失
2024-07-01 23:07:00,M01,CUP-003,DRH-004,CUP,DRH,137.9,134.1,OP013,正常
2025-06-22 13:55:00,M17,TLM-024,BUM-018,TLM,BUM,195.0,195.2,OP039,正常
2024-03-07 10:33:00,M09,CUP-028,DRH-011,CUP,DRH,168.5,195.3,OP033,正常
2024-09-20 22:12:00,M12,DRH-022,CUP-002,DRH,CUP,91.3,109.8,OP035,物料未到位
2025-05-14 17:10:00,M07,CUP-014,VEN-017,CUP,VEN,169.0,172.0,OP041,正常
