customer_id,customer_name,tier,priority_weight,payment_days,annual_sku_count,annual_order_amount_wan,cooperation_years
C001,东风彼欧,Tier 1,1.3,60,17,508,6
C002,本田技研,Tier 1,1.5,45,41,154,6
C003,伟世通,Tier 1,1.4,60,11,376,3
C004,佛吉亚,Tier 1,1.35,60,5,528,7
C005,比亚迪,整车厂,1.6,90,21,80,7
C006,小鹏汽车,整车厂,1.5,75,20,322,6
C007,零跑汽车,整车厂,1.4,90,20,396,6
C008,岚图汽车,整车厂,1.5,60,40,463,5
C009,路特斯,整车厂,1.8,45,30,120,2
C010,极氪,整车厂,1.6,60,27,445,6
C011,理想汽车,整车厂,1.55,75,15,209,3
C012,蔚来汽车,整车厂,1.5,75,39,502,3
C013,问界,整车厂,1.55,60,8,515,8
C014,阿维塔,整车厂,1.45,75,7,324,7
C015,马瑞利,Tier 1,1.3,60,25,580,2
C016,安波福,Tier 1,1.35,60,9,191,7
C017,麦格纳,Tier 1,1.4,60,27,513,4
C018,李尔,Tier 1,1.35,60,15,234,2
C019,布雷博,Tier 1,1.4,60,32,499,1
C020,采埃孚,Tier 1,1.4,60,36,229,1
