delivery_id,delivery_time,promised_time,sku,customer_id,customer_name,qty_delivered,amount_yuan,status,delay_hours,logistics_provider
DLV-0000001,2025-10-09 09:00:00,2025-10-07 21:00:00,LFR-009,C011,理想汽车,40,657.6,LATE,36.0,客户自提
DLV-0000002,2024-01-19 12:00:00,2024-01-20 07:00:00,BUM-027,C014,阿维塔,137,1160.39,OK,0,德邦
DLV-0000003,2024-07-04 17:00:00,2024-07-03 18:00:00,VEN-018,C014,阿维塔,316,1959.2,LATE,23.0,京东物流
DLV-0000004,2025-04-18 13:00:00,2025-04-19 06:00:00,CUP-030,C014,阿维塔,88,2251.04,OK,0,客户自提
DLV-0000005,2025-10-19 08:00:00,2025-10-20 08:00:00,TLM-027,C005,比亚迪,220,3324.2,OK,0,京东物流
DLV-0000006,2026-04-02 16:00:00,2026-03-31 22:00:00,LRB-004,C017,麦格纳,56,732.48,LATE,42.0,京东物流
DLV-0000007,2024-07-21 10:00:00,2024-07-22 00:00:00,VEN-023,C009,路特斯,65,492.7,OK,0,安能
DLV-0000008,2025-07-09 13:00:00,2025-07-08 16:00:00,BUM-010,C010,极氪,110,3444.1,LATE,21.0,京东物流
DLV-0000009,2026-03-24 11:00:00,2026-03-22 21:00:00,HND-026,C003,伟世通,322,9534.42,LATE,38.0,SF顺丰
DLV-0000010,2026-01-06 16:00:00,2026-01-05 17:00:00,LFR-017,C011,理想汽车,641,15492.97,LATE,23.0,客户自提
DLV-0000011,2025-05-14 16:00:00,2025-05-16 06:00:00,TLM-020,C006,小鹏汽车,35,1103.2,OK,0,德邦
DLV-0000012,2025-01-09 14:00:00,2025-01-08 18:00:00,TLM-002,C018,李尔,163,810.11,LATE,20.0,德邦
DLV-0000013,2026-02-27 14:00:00,2026-02-27 05:00:00,CUP-012,C002,本田技研,91,1399.58,LATE,9.0,京东物流
DLV-0000014,2024-01-01 12:00:00,2024-01-01 12:00:00,VEN-021,C017,麦格纳,250,7437.5,OK,0,德邦
DLV-0000015,2025-11-15 10:00:00,2025-11-14 22:00:00,TLM-019,C002,本田技研,321,9466.29,LATE,12.0,德邦
DLV-0000016,2025-02-05 12:00:00,2025-02-04 19:00:00,DUO-016,C010,极氪,369,8379.99,LATE,17.0,京东物流
DLV-0000017,2026-03-05 07:00:00,2026-03-06 22:00:00,HND-028,C009,路特斯,447,4331.43,OK,0,安能
DLV-0000018,2025-09-05 10:00:00,2025-09-06 08:00:00,CUP-029,C012,蔚来汽车,675,1518.75,OK,0,安能
DLV-0000019,2025-06-16 11:00:00,2025-06-14 18:00:00,CUP-013,C010,极氪,109,2114.6,LATE,41.0,SF顺丰
DLV-0000020,2026-04-29 10:00:00,2026-04-30 08:00:00,TLP-014,C016,安波福,158,5133.42,OK,0,德邦
DLV-0000021,2024-01-19 09:00:00,2024-01-20 02:00:00,LRB-020,C001,东风彼欧,138,3018.06,OK,0,德邦
DLV-0000022,2024-06-30 09:00:00,2024-07-01 11:00:00,TLM-004,C019,布雷博,120,3894.0,OK,0,宅急送
DLV-0000023,2025-02-06 18:00:00,2025-02-06 08:00:00,CUP-004,C020,采埃孚,127,4339.59,LATE,10.0,宅急送
DLV-0000024,2026-04-15 11:00:00,2026-04-14 17:00:00,DUO-021,C009,路特斯,418,3945.92,LATE,18.0,安能
