log_date,shift,machine_id,runtime_hours,energy_consumed_kwh,energy_cost_yuan,eco_mode_enabled
2024-01-01,白班,M01,3.55,22.77,13.9,False
2024-01-01,夜班,M01,6.88,45.44,33.67,True
2024-01-01,晚班,M01,6.49,59.22,50.16,True
2024-01-01,白班,M02,4.45,37.76,25.26,True
2024-01-01,夜班,M02,3.2,19.59,14.09,False
2024-01-01,晚班,M02,2.46,26.38,19.68,True
2024-01-01,白班,M03,4.33,49.28,32.53,False
2024-01-01,夜班,M03,6.19,72.77,61.11,True
2024-01-01,晚班,M03,7.88,82.82,46.92,True
2024-01-01,白班,M04,3.33,53.34,44.24,True
2024-01-01,夜班,M04,6.9,115.7,79.17,False
2024-01-01,晚班,M04,4.3,85.83,61.26,True
2024-01-01,白班,M05,3.93,51.94,29.39,True
2024-01-01,夜班,M05,7.28,127.59,72.56,True
2024-01-01,晚班,M05,5.83,79.1,65.55,False
2024-01-01,白班,M06,6.34,132.26,85.27,True
2024-01-01,夜班,M06,7.43,177.38,112.1,True
2024-01-01,晚班,M06,4.26,114.79,87.34,True
2024-01-01,白班,M07,3.27,80.54,63.82,False
2024-01-01,夜班,M07,5.89,149.63,125.33,False
2024-01-01,晚班,M07,5.35,149.48,82.52,True
2024-01-01,白班,M08,5.93,181.41,131.29,False
2024-01-01,夜班,M08,4.92,121.14,80.55,True
2024-01-01,晚班,M08,4.21,66.11,42.72,True
2024-01-01,白班,M09,2.58,76.16,52.83,True
2024-01-01,夜班,M09,6.88,213.14,179.58,True
2024-01-01,晚班,M09,2.96,69.55,53.24,True
2024-01-01,白班,M10,6.01,255.7,158.89,True
2024-01-01,夜班,M10,5.88,168.19,101.02,True
2024-01-01,晚班,M10,4.11,184.57,136.41,True
2024-01-01,白班,M11,3.04,106.25,69.19,False
2024-01-01,夜班,M11,6.22,223.77,124.0,True
2024-01-01,晚班,M11,2.87,108.11,72.41,True
2024-01-01,白班,M12,4.72,153.12,113.92,True
2024-01-01,夜班,M12,2.79,125.83,77.38,True
2024-01-01,晚班,M12,6.38,184.77,105.66,False
2024-01-01,白班,M13,5.09,183.3,109.31,True
2024-01-01,夜班,M13,7.86,422.15,334.98,True
2024-01-01,晚班,M13,5.29,182.28,147.22,True
2024-01-01,白班,M14,4.91,208.56,166.67,True
2024-01-01,夜班,M14,7.67,331.92,226.35,True
2024-01-01,晚班,M14,2.96,117.23,92.75,True
2024-01-01,白班,M15,6.46,275.35,219.89,True
2024-01-01,夜班,M15,5.54,168.01,127.52,True
2024-01-01,晚班,M15,7.92,367.67,225.29,True
2024-01-01,白班,M16,2.46,91.13,76.26,True
2024-01-01,夜班,M16,7.89,530.97,403.38,True
2024-01-01,晚班,M16,7.14,379.15,262.89,True
2024-01-01,白班,M17,3.75,285.82,184.35,False
2024-01-01,夜班,M17,7.14,549.0,321.18,True
2024-01-01,晚班,M17,6.69,504.54,352.91,False
2024-01-01,白班,M18,2.29,132.8,99.07,False
2024-01-01,夜班,M18,2.55,294.19,205.31,True
2024-01-01,晚班,M18,5.23,605.97,453.72,True
2024-01-01,白班,M19,3.31,412.13,321.96,True
2024-01-01,夜班,M19,3.69,340.6,233.99,True
2024-01-01,晚班,M19,3.74,499.55,298.96,False
2024-01-01,白班,M20,6.44,981.16,664.58,True
2024-01-01,夜班,M20,2.59,282.88,196.39,True
2024-01-01,晚班,M20,7.69,779.34,512.93,True
2024-01-01,白班,M21,6.92,750.04,422.61,False
2024-01-01,夜班,M21,6.03,1072.84,818.33,True
2024-01-01,晚班,M21,6.88,777.66,471.53,False
2024-01-01,白班,M22,3.27,481.89,352.63,True
2024-01-01,夜班,M22,7.22,1737.99,969.47,True
2024-01-01,晚班,M22,4.73,1248.76,1023.17,True
2024-01-01,白班,M23,4.32,196.33,111.01,True
2024-01-01,夜班,M23,6.66,236.16,150.83,False
2024-01-01,晚班,M23,6.47,287.66,193.62,True
2024-01-01,白班,M24,4.82,668.15,549.36,True
2024-01-01,夜班,M24,3.87,403.46,278.89,True
2024-01-01,晚班,M24,6.36,1112.07,761.31,True
2024-01-01,白班,M25,3.9,579.63,476.89,False
2024-01-01,夜班,M25,5.12,718.39,467.1,True
2024-01-01,晚班,M25,7.64,941.97,795.72,True
2024-01-01,白班,M26,5.65,1043.13,777.36,True
2024-01-01,夜班,M26,3.65,913.16,537.36,True
2024-01-01,晚班,M26,5.2,1436.25,946.76,True
2024-01-01,白班,M27,4.93,1033.04,737.03,True
2024-01-01,夜班,M27,3.5,592.69,408.64,False
2024-01-01,晚班,M27,5.5,1584.35,1189.48,False
2024-01-01,白班,M28,6.54,1656.3,1066.67,True
2024-01-01,夜班,M28,4.4,1102.34,885.53,True
2024-01-01,晚班,M28,3.11,816.71,517.7,True
2024-01-01,白班,M29,7.61,2567.44,1490.98,True
2024-01-01,夜班,M29,3.81,1224.01,888.4,False
2024-01-01,晚班,M29,7.63,2990.7,1818.91,True
2024-01-02,白班,M01,5.4,29.65,20.42,True
2024-01-02,夜班,M01,2.74,17.69,13.79,False
2024-01-02,晚班,M01,4.14,33.32,25.44,True
