snapshot_date,sku,family,wip_qty,finished_goods_qty,reorder_point,value_yuan,status,aging_days
2024-01-01,BUM-027,BUM,291,531,145,4497.57,低库存预警,24
2024-01-01,DUO-004,DUO,221,815,172,17049.8,低库存预警,13
2024-01-01,HND-019,HND,292,247,619,5305.56,过库存,28
2024-01-01,CUP-006,CUP,350,1413,734,26832.87,过库存,16
2024-01-01,VEN-003,VEN,376,1265,478,37153.05,过库存,28
2024-01-01,BUM-009,BUM,416,1404,146,31070.52,低库存预警,16
2024-01-01,TLM-026,TLM,457,476,511,8853.6,正常,27
2024-01-01,DRH-011,DRH,484,1162,359,35382.9,过库存,28
2024-01-01,DUO-015,DUO,156,1474,161,30541.28,过库存,30
2024-01-01,HND-023,HND,122,1253,165,11815.79,过库存,24
2024-01-01,LRB-021,LRB,4,379,318,4134.89,正常,13
2024-01-01,BUM-014,BUM,244,1245,641,9437.1,低库存预警,10
2024-01-01,WLC-009,WLC,110,208,420,6433.44,正常,14
2024-01-01,LFR-007,LFR,439,362,426,1259.76,正常,21
2024-01-01,BUM-017,BUM,287,1571,645,9206.06,低库存预警,26
2024-01-01,DUO-012,DUO,277,941,245,10755.63,正常,3
2024-01-01,LFR-002,LFR,361,1019,517,11045.96,正常,1
2024-01-01,BUM-003,BUM,172,527,654,9306.82,正常,12
2024-01-01,TLP-013,TLP,321,1107,650,2568.24,正常,21
2024-01-01,CUP-016,CUP,234,162,392,2447.82,正常,2
2024-01-01,LFR-018,LFR,490,569,222,13832.39,低库存预警,22
2024-01-01,HND-010,HND,394,1375,622,44453.75,正常,23
2024-01-01,TLM-021,TLM,22,61,239,419.07,正常,29
2024-01-01,HND-007,HND,345,1133,544,4441.36,正常,23
2024-01-01,CUP-023,CUP,336,985,525,12489.8,过库存,5
2024-01-01,TLM-022,TLM,165,1613,404,6774.6,正常,2
2024-01-01,CUP-003,CUP,362,1023,336,34986.6,低库存预警,29
2024-01-01,TLM-004,TLM,123,1667,729,54094.15,低库存预警,3
2024-01-01,TLM-006,TLM,198,1317,114,8995.11,正常,23
2024-01-01,CUP-010,CUP,94,898,338,25781.58,低库存预警,28
2024-01-01,VEN-019,VEN,225,325,493,5638.75,低库存预警,13
2024-01-01,WLC-022,WLC,395,1341,711,45044.19,正常,9
2024-01-01,HND-011,HND,343,1822,260,20679.7,过库存,26
2024-01-01,LRB-016,LRB,97,992,411,23589.76,正常,30
2024-01-01,TLM-001,TLM,229,500,140,3415.0,正常,17
2024-01-01,CUP-028,CUP,374,897,629,10934.43,正常,16
2024-01-01,LRB-014,LRB,464,1629,296,30885.84,正常,28
2024-01-01,TLP-020,TLP,445,391,390,680.34,正常,3
2024-01-01,CUP-001,CUP,88,38,214,250.8,过库存,26
2024-01-01,DRH-003,DRH,116,1155,318,10753.05,低库存预警,26
2024-01-01,TLP-001,TLP,392,328,597,2522.32,正常,23
2024-01-01,TLP-004,TLP,55,1345,770,11432.5,正常,25
2024-01-01,HND-026,HND,362,1413,466,41838.93,过库存,23
2024-01-01,WLC-003,WLC,91,362,381,2628.12,过库存,6
2024-01-01,DUO-006,DUO,198,457,519,15103.85,正常,30
2024-01-01,VEN-006,VEN,370,1838,482,25658.48,过库存,16
2024-01-01,CUP-021,CUP,212,190,372,5219.3,低库存预警,16
2024-01-01,LRB-019,LRB,455,914,139,30948.04,正常,27
2024-01-01,VEN-010,VEN,377,1810,630,23711.0,过库存,8
2024-01-01,TLM-009,TLM,337,1841,734,37850.96,正常,6
2024-01-01,DRH-028,DRH,160,1510,793,39758.3,过库存,23
2024-01-01,LFR-015,LFR,39,938,472,4568.06,正常,7
2024-01-01,BUM-011,BUM,337,1094,651,31375.92,正常,12
2024-01-01,DUO-016,DUO,1,845,234,19189.95,正常,24
2024-01-01,LFR-019,LFR,6,965,363,16115.5,正常,27
2024-01-01,LFR-016,LFR,427,1509,137,25366.29,正常,21
2024-01-01,HND-005,HND,460,1067,492,29609.25,正常,11
2024-01-01,DRH-005,DRH,467,555,186,14296.8,过库存,2
2024-01-01,LRB-002,LRB,429,57,590,1470.03,正常,6
2024-01-01,HND-015,HND,404,80,741,1109.6,正常,8
2024-01-02,HND-013,HND,30,686,236,11511.08,正常,29
2024-01-02,BUM-011,BUM,102,940,418,26959.2,正常,7
2024-01-02,WLC-020,WLC,230,1928,711,22731.12,低库存预警,8
2024-01-02,DRH-005,DRH,373,1874,782,48274.24,正常,16
2024-01-02,HND-016,HND,92,259,329,3939.39,正常,19
2024-01-02,LFR-017,LFR,355,1652,485,39928.84,正常,10
2024-01-02,TLP-025,TLP,324,845,115,2594.15,低库存预警,23
2024-01-02,DRH-025,DRH,427,1502,604,15786.02,正常,25
2024-01-02,TLP-016,TLP,113,891,756,23014.53,正常,7
2024-01-02,LFR-016,LFR,304,427,485,7177.87,正常,27
2024-01-02,VEN-007,VEN,328,209,549,3176.8,正常,20
2024-01-02,WLC-016,WLC,456,819,649,25380.81,正常,8
2024-01-02,HND-021,HND,445,1096,769,29142.64,正常,7
2024-01-02,DRH-023,DRH,418,806,516,6625.32,低库存预警,2
2024-01-02,LRB-017,LRB,283,1153,265,29343.85,正常,16
2024-01-02,DRH-009,DRH,197,1358,294,17572.52,低库存预警,18
2024-01-02,HND-011,HND,248,1792,522,20339.2,低库存预警,24
