machine_id,machine_type,tonnage_T,install_year,oee_baseline,max_clamp_force_kN,screw_diameter_mm,last_maintenance_date
M01,全电动,60,2018,0.731,637.8,36,2026-03-29
M02,全电动,60,2019,0.784,598.9,90,2025-12-02
M03,全电动,80,2020,0.61,766.2,75,2026-01-13
M04,全电动,120,2021,0.562,1082.2,75,2026-01-08
M05,全电动,120,2022,0.561,1224.9,60,2025-12-16
M06,全电动,150,2018,0.787,1557.2,45,2026-03-25
M07,全电动,180,2019,0.624,1655.0,90,2026-02-22
M08,全电动,180,2020,0.592,1799.3,75,2026-03-26
M09,全电动,250,2021,0.782,2489.1,45,2025-12-28
M10,全电动,250,2022,0.765,2694.5,25,2026-03-21
M11,全电动,250,2018,0.615,2586.8,36,2026-03-26
M12,全电动,350,2019,0.612,3433.8,18,2025-12-19
M13,全电动,350,2020,0.757,3098.3,60,2025-12-22
M14,油压,280,2017,0.682,2678.6,75,2026-03-02
M15,油压,350,2018,0.766,3192.0,60,2026-03-21
M16,油压,450,2019,0.774,4383.3,18,2025-12-24
M17,油压,550,2020,0.704,5736.1,30,2026-02-24
M18,油压,650,2021,0.594,6759.7,90,2026-03-16
M19,油压,750,2022,0.673,7200.5,90,2025-12-16
M20,油压,850,2017,0.778,8127.4,18,2025-12-17
M21,油压,1200,2018,0.621,11017.7,30,2026-03-06
M22,油压,1600,2019,0.571,15713.0,36,2025-12-26
M23,双色,280,2019,0.67,2915.8,36,2026-02-04
M24,双色,1000,2020,0.79,9536.3,90,2025-12-11
M25,双色,1000,2021,0.577,9355.1,25,2026-01-27
M26,两板,1600,2020,0.608,16975.6,36,2025-12-29
M27,两板,1800,2021,0.643,17285.4,90,2026-01-22
M28,两板,2000,2022,0.585,18140.9,75,2026-03-30
M29,两板,2500,2020,0.581,25932.9,30,2026-01-27
