event_id,event_time,machine_id,event_type,is_failure,downtime_hours,cost_yuan,technician,status,note
MNT-000001,2025-02-07 16:00:00,M08,换油,True,22.97,2531.16,维修工B,已修复,
MNT-000002,2024-08-27 00:00:00,M05,锁模故障,True,5.3,6927.62,外部供应商,待跟进,更换备件
MNT-000003,2026-04-20 13:00:00,M11,加热故障,True,7.72,231.38,维修工A,已修复,建议大修
MNT-000004,2025-11-04 05:00:00,M22,液压故障,True,3.0,5745.08,外部供应商,已修复,更换备件
MNT-000005,2025-04-16 04:00:00,M18,电气故障,True,19.73,2984.58,维修工A,已修复,
MNT-000006,2024-02-14 19:00:00,M03,液压故障,True,13.62,5231.42,维修工C,已修复,需要厂家支持
MNT-000007,2024-09-20 02:00:00,M17,滤芯更换,True,19.02,5229.1,外部供应商,已修复,
MNT-000008,2024-11-07 13:00:00,M16,滤芯更换,True,11.78,7641.91,维修工D,已修复,
MNT-000009,2026-03-19 09:00:00,M06,换油,True,6.84,1583.09,维修工A,已修复,需要厂家支持
MNT-000010,2026-02-02 01:00:00,M22,滤芯更换,True,13.66,262.7,维修工B,已修复,
MNT-000011,2024-06-03 19:00:00,M12,锁模故障,True,18.09,4364.25,维修工C,已修复,
MNT-000012,2025-08-16 10:00:00,M25,密封件更换,True,18.51,7541.66,维修工A,已修复,
MNT-000013,2024-05-01 01:00:00,M10,电气故障,True,4.77,6378.62,维修工A,已修复,
MNT-000014,2024-01-07 17:00:00,M05,加热故障,True,5.11,3637.69,外部供应商,已修复,
MNT-000015,2025-03-06 13:00:00,M18,液压故障,True,2.15,7572.69,外部供应商,已修复,
MNT-000016,2026-04-01 00:00:00,M13,故障维修,True,5.91,2387.27,维修工C,已修复,
MNT-000017,2025-02-21 22:00:00,M28,注射故障,True,8.58,4985.25,维修工A,已修复,需要厂家支持
MNT-000018,2024-10-07 07:00:00,M12,电气故障,True,3.05,2075.14,外部供应商,已修复,建议大修
MNT-000019,2026-02-11 10:00:00,M09,锁模故障,True,13.54,5955.12,维修工D,已修复,需要厂家支持
MNT-000020,2025-05-18 05:00:00,M21,预防性保养,False,2.77,104.92,维修工B,已修复,
MNT-000021,2026-04-24 07:00:00,M19,换油,True,6.18,3281.71,维修工D,已修复,需要厂家支持
MNT-000022,2025-09-17 17:00:00,M11,加热故障,True,7.23,3011.23,维修工B,已修复,
MNT-000023,2026-04-28 18:00:00,M26,注射故障,True,17.67,7432.43,维修工D,已修复,
MNT-000024,2024-03-05 06:00:00,M18,加热故障,True,17.59,5117.09,维修工A,已修复,建议大修
MNT-000025,2024-11-06 05:00:00,M20,电气故障,True,8.01,7906.45,维修工C,已修复,
MNT-000026,2024-08-17 14:00:00,M08,换油,True,2.87,4189.37,维修工A,已修复,需要厂家支持
MNT-000027,2024-10-16 15:00:00,M01,电气故障,True,7.69,1611.59,外部供应商,已修复,
MNT-000028,2025-04-06 07:00:00,M12,加热故障,True,1.57,2521.13,维修工B,已修复,需要厂家支持
MNT-000029,2024-02-19 23:00:00,M29,预防性保养,False,1.77,429.78,维修工C,已修复,
MNT-000030,2024-04-29 10:00:00,M05,注射故障,True,3.53,672.74,维修工C,待跟进,更换备件
MNT-000031,2024-04-26 14:00:00,M19,预防性保养,False,2.35,784.43,维修工D,已修复,
MNT-000032,2026-03-04 17:00:00,M17,换油,True,11.42,6772.26,维修工C,已修复,
MNT-000033,2025-03-11 13:00:00,M16,故障维修,True,11.88,2750.08,外部供应商,已修复,
MNT-000034,2025-05-18 19:00:00,M18,锁模故障,True,23.73,6572.5,外部供应商,已修复,建议大修
MNT-000035,2026-04-28 15:00:00,M28,锁模故障,True,7.91,4139.87,维修工B,已修复,建议大修
MNT-000036,2024-03-16 07:00:00,M12,液压故障,True,18.53,339.83,外部供应商,已修复,建议大修
MNT-000037,2026-02-09 07:00:00,M21,预防性保养,False,2.86,637.21,外部供应商,已修复,
MNT-000038,2025-04-12 02:00:00,M23,液压故障,True,20.39,4139.69,外部供应商,已修复,需要厂家支持
MNT-000039,2024-02-10 20:00:00,M29,故障维修,True,13.34,7555.32,维修工A,待跟进,
MNT-000040,2025-12-13 07:00:00,M06,注射故障,True,18.34,5568.78,外部供应商,已修复,建议大修
MNT-000041,2025-07-21 03:00:00,M04,电气故障,True,7.28,915.79,维修工D,已修复,建议大修
MNT-000042,2025-11-13 17:00:00,M18,密封件更换,True,3.72,3600.78,维修工D,已修复,
MNT-000043,2024-12-26 16:00:00,M02,加热故障,True,9.98,3840.83,维修工D,已修复,建议大修
MNT-000044,2025-05-03 20:00:00,M04,注射故障,True,9.97,2802.94,维修工B,已修复,
MNT-000045,2025-12-07 01:00:00,M21,锁模故障,True,22.44,2974.47,外部供应商,已修复,
MNT-000046,2024-10-21 01:00:00,M07,液压故障,True,19.0,4173.98,维修工B,已修复,
MNT-000047,2024-03-15 01:00:00,M07,加热故障,True,15.89,6867.45,外部供应商,已修复,
MNT-000048,2025-01-28 11:00:00,M24,电气故障,True,20.87,5814.96,外部供应商,已修复,
MNT-000049,2026-01-20 01:00:00,M04,电气故障,True,20.35,7618.01,维修工C,已修复,需要厂家支持
MNT-000050,2026-01-29 19:00:00,M11,滤芯更换,True,7.34,4855.3,维修工B,已修复,更换备件
MNT-000051,2025-12-23 05:00:00,M06,密封件更换,True,11.2,5519.87,外部供应商,已修复,
MNT-000052,2025-12-12 15:00:00,M28,锁模故障,True,10.43,7431.13,维修工A,已修复,更换备件
MNT-000053,2024-01-13 20:00:00,M29,密封件更换,True,8.34,7842.17,外部供应商,已修复,建议大修
MNT-000054,2025-12-13 03:00:00,M14,滤芯更换,True,8.66,5334.36,维修工D,已修复,需要厂家支持
MNT-000055,2025-06-27 00:00:00,M01,密封件更换,True,19.08,7473.44,维修工A,已修复,
MNT-000056,2025-05-12 07:00:00,M16,滤芯更换,True,15.0,6778.61,维修工A,已修复,
MNT-000057,2024-02-22 11:00:00,M23,锁模故障,True,20.33,1938.54,维修工A,已修复,更换备件
MNT-000058,2024-04-24 07:00:00,M25,注射故障,True,19.07,3109.8,外部供应商,已修复,需要厂家支持
MNT-000059,2024-04-02 10:00:00,M14,加热故障,True,11.09,1864.69,维修工D,已修复,
MNT-000060,2026-03-05 16:00:00,M22,预防性保养,False,2.21,1423.52,维修工C,已修复,更换备件
MNT-000061,2025-09-12 14:00:00,M25,故障维修,True,17.91,6697.19,外部供应商,已修复,建议大修
MNT-000062,2024-08-11 09:00:00,M06,故障维修,True,1.57,4764.36,外部供应商,已修复,更换备件
MNT-000063,2025-11-09 21:00:00,M03,故障维修,True,14.55,2873.48,维修工A,已修复,更换备件
MNT-000064,2025-02-23 17:00:00,M10,注射故障,True,20.18,4645.8,维修工A,已修复,
MNT-000065,2024-07-08 00:00:00,M15,换油,True,6.53,1637.19,维修工C,待跟进,
MNT-000066,2025-04-27 21:00:00,M25,故障维修,True,18.7,4474.37,维修工B,已修复,更换备件
