record_id,record_time,machine_id,sku,material_type,qty_produced,theoretical_weight_kg,actual_consumption_kg,waste_rate_pct,material_source,material_cost_yuan
MC-0000001,2025-12-01 13:00:00,M27,LFR-016,PC/ABS,801,627.518,737.062,17.46,回料,13161.91
MC-0000002,2024-01-17 08:00:00,M03,CUP-015,POM,814,206.922,207.351,0.21,回料,6543.65
MC-0000003,2025-01-17 17:00:00,M17,HND-018,ABS,428,231.441,271.097,17.13,新料,7198.41
MC-0000004,2024-07-06 16:00:00,M04,VEN-012,POM,883,580.8,620.827,6.89,混料,17818.06
MC-0000005,2026-03-18 15:00:00,M15,HND-011,POM,803,424.876,485.783,14.34,新料,4258.3
MC-0000006,2024-12-04 16:00:00,M22,BUM-007,PA6,99,16.988,19.143,12.69,新料,346.39
MC-0000007,2026-04-04 13:00:00,M15,BUM-001,PP-GF20,524,282.975,286.019,1.08,回料,2673.42
MC-0000008,2024-06-30 11:00:00,M07,DRH-006,POM,678,582.276,606.363,4.14,回料,11283.01
MC-0000009,2024-02-03 11:00:00,M27,LFR-005,PC/ABS,217,38.153,43.728,14.61,新料,730.52
MC-0000010,2026-03-05 08:00:00,M07,VEN-015,TPE,377,143.636,160.212,11.54,新料,3158.31
MC-0000011,2024-12-18 14:00:00,M02,DRH-028,PA6,851,700.26,726.149,3.7,新料,12795.82
MC-0000012,2025-11-22 08:00:00,M28,LFR-020,PP,947,55.111,59.532,8.02,新料,915.55
MC-0000013,2024-08-19 11:00:00,M21,HND-002,PC/ABS,193,17.255,19.715,14.26,混料,355.26
MC-0000014,2024-04-25 10:00:00,M15,TLM-018,PP,935,289.974,333.017,14.84,回料,3598.01
MC-0000015,2025-06-09 11:00:00,M20,HND-012,PC/ABS,863,103.645,122.265,17.97,回料,4081.89
MC-0000016,2025-10-26 08:00:00,M08,DRH-007,PC/ABS,792,264.714,296.397,11.97,混料,8181.44
MC-0000017,2026-01-02 14:00:00,M09,DRH-003,PP-GF20,696,166.603,175.659,5.44,回料,4992.02
MC-0000018,2024-12-07 14:00:00,M22,TLM-013,ABS,810,660.432,673.23,1.94,新料,13419.89
MC-0000019,2026-04-22 10:00:00,M06,CUP-025,PP-GF20,511,242.954,266.217,9.58,回料,4208.26
MC-0000020,2024-07-25 09:00:00,M01,CUP-023,TPE,957,398.227,459.241,15.32,回料,12202.1
MC-0000021,2024-05-19 16:00:00,M07,VEN-016,PP,391,241.114,269.36,11.71,新料,6413.67
MC-0000022,2025-04-16 14:00:00,M29,LFR-017,POM,638,89.897,104.37,16.1,新料,3444.17
MC-0000023,2025-06-09 09:00:00,M27,LFR-008,PA6,799,667.182,709.308,6.31,回料,20224.49
MC-0000024,2024-07-11 14:00:00,M23,WLC-001,PC/ABS,308,61.671,65.055,5.49,混料,1922.64
MC-0000025,2024-07-15 11:00:00,M05,VEN-014,PC/ABS,968,639.701,701.204,9.61,新料,16267.58
MC-0000026,2024-01-22 09:00:00,M05,VEN-022,PC/ABS,687,281.133,319.228,13.55,混料,6909.89
MC-0000027,2025-01-01 10:00:00,M23,WLC-020,POM,645,55.673,60.007,7.78,新料,859.71
MC-0000028,2025-02-10 14:00:00,M18,BUM-004,PC/ABS,56,47.707,56.166,17.73,混料,1659.92
