shift_id,shift_date,shift_name,operator_id,operator_name,assigned_machines,effective_hours,overtime_hours,attended
SH-0000001,2024-01-01,白班,OP026,操作员26,M23;M02;M25,8.32,0.84,True
SH-0000002,2024-01-01,白班,OP042,操作员42,M19;M10,7.91,0.05,True
SH-0000003,2024-01-01,白班,OP021,操作员21,M14,6.85,0.96,True
SH-0000004,2024-01-01,白班,OP008,操作员08,M22;M10;M19,8.46,0.51,True
SH-0000005,2024-01-01,白班,OP037,操作员37,M24;M07;M18,7.71,0.79,True
SH-0000006,2024-01-01,白班,OP005,操作员05,M19;M18,6.98,1.41,False
SH-0000007,2024-01-01,白班,OP022,操作员22,M21,6.8,0.35,True
SH-0000008,2024-01-01,白班,OP027,操作员27,M24;M09;M08,6.54,0.6,True
SH-0000009,2024-01-01,白班,OP033,操作员33,M11,6.55,1.56,True
SH-0000010,2024-01-01,白班,OP039,操作员39,M23;M22,7.49,0.75,False
SH-0000011,2024-01-01,白班,OP043,操作员43,M06,6.78,1.47,True
SH-0000012,2024-01-01,白班,OP009,操作员09,M05;M06;M11,6.77,0.28,True
SH-0000013,2024-01-01,白班,OP022,操作员22,M01,7.92,1.01,True
SH-0000014,2024-01-01,白班,OP015,操作员15,M14;M29,7.34,1.37,True
SH-0000015,2024-01-01,夜班,OP047,操作员47,M17,8.01,1.36,True
SH-0000016,2024-01-01,夜班,OP044,操作员44,M22,6.75,1.29,False
SH-0000017,2024-01-01,夜班,OP021,操作员21,M01;M04;M08,6.86,1.78,True
SH-0000018,2024-01-01,夜班,OP046,操作员46,M12;M05,7.32,1.62,True
SH-0000019,2024-01-01,夜班,OP034,操作员34,M08,8.02,1.12,True
SH-0000020,2024-01-01,夜班,OP011,操作员11,M03;M09,7.43,0.16,True
SH-0000021,2024-01-01,夜班,OP026,操作员26,M21,8.02,1.62,True
SH-0000022,2024-01-01,夜班,OP036,操作员36,M12;M13;M25,7.12,0.52,True
SH-0000023,2024-01-01,夜班,OP046,操作员46,M02;M18;M17,7.49,1.01,False
SH-0000024,2024-01-01,夜班,OP027,操作员27,M04;M16,7.6,1.62,True
SH-0000025,2024-01-01,夜班,OP042,操作员42,M17;M06;M23,8.02,1.59,True
SH-0000026,2024-01-01,夜班,OP034,操作员34,M28;M05;M14,8.43,0.79,True
SH-0000027,2024-01-01,晚班,OP047,操作员47,M14,6.89,1.32,False
SH-0000028,2024-01-01,晚班,OP008,操作员08,M16,7.78,0.19,True
SH-0000029,2024-01-01,晚班,OP033,操作员33,M24;M23;M12,8.49,0.78,True
SH-0000030,2024-01-01,晚班,OP041,操作员41,M23,8.32,0.62,True
SH-0000031,2024-01-01,晚班,OP035,操作员35,M26,7.84,0.39,True
SH-0000032,2024-01-01,晚班,OP006,操作员06,M23;M15;M14,8.32,1.85,False
SH-0000033,2024-01-01,晚班,OP013,操作员13,M11;M05;M17,7.49,1.6,True
SH-0000034,2024-01-01,晚班,OP032,操作员32,M17,7.66,0.79,True
SH-0000035,2024-01-01,晚班,OP031,操作员31,M22;M04,7.32,0.27,False
SH-0000036,2024-01-01,晚班,OP037,操作员37,M02;M19;M21,8.43,1.91,True
SH-0000037,2024-01-01,晚班,OP030,操作员30,M02;M09;M10,8.3,0.65,True
SH-0000038,2024-01-01,晚班,OP002,操作员02,M02;M05;M23,7.72,1.25,True
SH-0000039,2024-01-01,晚班,OP013,操作员13,M12;M26;M27,7.35,0.38,False
SH-0000040,2024-01-01,晚班,OP040,操作员40,M20;M21,6.91,0.81,True
SH-0000041,2024-01-01,晚班,OP014,操作员14,M08,7.57,0.55,False
SH-0000042,2024-01-01,晚班,OP015,操作员15,M09;M12;M06,6.91,1.78,False
SH-0000043,2024-01-01,晚班,OP032,操作员32,M03;M29,7.42,1.35,True
SH-0000044,2024-01-02,白班,OP003,操作员03,M17,7.5,0.77,True
SH-0000045,2024-01-02,白班,OP022,操作员22,M27;M01;M03,7.36,1.75,True
SH-0000046,2024-01-02,白班,OP003,操作员03,M06;M17,6.57,0.47,True
SH-0000047,2024-01-02,白班,OP016,操作员16,M29;M06,8.21,0.15,True
SH-0000048,2024-01-02,白班,OP035,操作员35,M06,6.74,1.08,True
SH-0000049,2024-01-02,白班,OP007,操作员07,M08,8.1,1.62,False
SH-0000050,2024-01-02,白班,OP003,操作员03,M17,7.05,1.93,True
SH-0000051,2024-01-02,白班,OP033,操作员33,M29,6.61,1.73,True
SH-0000052,2024-01-02,白班,OP030,操作员30,M16;M29,6.77,1.42,True
SH-0000053,2024-01-02,白班,OP021,操作员21,M02,6.67,0.18,True
SH-0000054,2024-01-02,白班,OP006,操作员06,M04,6.52,0.68,True
SH-0000055,2024-01-02,白班,OP044,操作员44,M01,7.33,0.19,False
SH-0000056,2024-01-02,白班,OP029,操作员29,M25,6.87,1.72,True
SH-0000057,2024-01-02,白班,OP003,操作员03,M22,8.29,0.01,True
SH-0000058,2024-01-02,白班,OP032,操作员32,M01;M15,7.37,1.06,False
SH-0000059,2024-01-02,白班,OP006,操作员06,M17;M09,8.12,2.0,True
SH-0000060,2024-01-02,夜班,OP014,操作员14,M22,6.66,0.2,True
SH-0000061,2024-01-02,夜班,OP031,操作员31,M07;M03,7.79,0.67,True
SH-0000062,2024-01-02,夜班,OP010,操作员10,M02;M11,8.12,1.72,True
SH-0000063,2024-01-02,夜班,OP008,操作员08,M12;M20,7.27,0.88,False
SH-0000064,2024-01-02,夜班,OP040,操作员40,M25;M08,7.69,0.83,True
SH-0000065,2024-01-02,夜班,OP039,操作员39,M27;M07;M05,6.53,1.07,True
SH-0000066,2024-01-02,夜班,OP010,操作员10,M16;M12;M27,7.59,0.13,True
SH-0000067,2024-01-02,夜班,OP009,操作员09,M18,7.42,1.2,True
SH-0000068,2024-01-02,夜班,OP010,操作员10,M15;M25;M07,7.89,1.87,True
SH-0000069,2024-01-02,夜班,OP044,操作员44,M10;M24,7.58,1.44,True
SH-0000070,2024-01-02,夜班,OP006,操作员06,M26;M05,7.47,0.49,True
SH-0000071,2024-01-02,夜班,OP008,操作员08,M23;M01,8.45,1.01,True
SH-0000072,2024-01-02,夜班,OP033,操作员33,M24,7.96,0.21,True
SH-0000073,2024-01-02,夜班,OP041,操作员41,M28,6.94,1.79,True
SH-0000074,2024-01-02,晚班,OP044,操作员44,M01;M04;M03,7.3,0.81,True
SH-0000075,2024-01-02,晚班,OP015,操作员15,M18;M19;M06,6.55,1.86,True
SH-0000076,2024-01-02,晚班,OP022,操作员22,M29,6.98,0.34,True
SH-0000077,2024-01-02,晚班,OP040,操作员40,M02;M01,6.79,0.54,True
SH-0000078,2024-01-02,晚班,OP030,操作员30,M13;M28;M16,6.81,0.93,False
SH-0000079,2024-01-02,晚班,OP018,操作员18,M01;M24,8.2,0.1,True
SH-0000080,2024-01-02,晚班,OP044,操作员44,M09;M19;M29,6.68,1.84,True
SH-0000081,2024-01-02,晚班,OP043,操作员43,M05,7.01,0.39,True
SH-0000082,2024-01-02,晚班,OP039,操作员39,M12,7.6,0.28,False
SH-0000083,2024-01-02,晚班,OP007,操作员07,M10;M26;M14,8.44,0.72,False
SH-0000084,2024-01-02,晚班,OP026,操作员26,M03;M24,7.14,1.12,True
SH-0000085,2024-01-02,晚班,OP015,操作员15,M10,8.02,1.23,True
SH-0000086,2024-01-02,晚班,OP025,操作员25,M17;M18,7.46,0.82,True
SH-0000087,2024-01-02,晚班,OP046,操作员46,M22,8.32,0.61,True
SH-0000088,2024-01-02,晚班,OP006,操作员06,M10,8.0,0.14,False
SH-0000089,2024-01-02,晚班,OP032,操作员32,M11;M24,7.28,0.24,True
SH-0000090,2024-01-02,晚班,OP029,操作员29,M19;M28,7.94,0.28,False
SH-0000091,2024-01-02,晚班,OP026,操作员26,M14,7.43,0.75,True
SH-0000092,2024-01-02,晚班,OP019,操作员19,M27;M04,7.24,1.11,True
SH-0000093,2024-01-03,白班,OP005,操作员05,M24;M07;M21,6.58,0.06,True
SH-0000094,2024-01-03,白班,OP021,操作员21,M09;M07;M19,7.92,0.38,False
SH-0000095,2024-01-03,白班,OP001,操作员01,M23,8.42,0.95,True
SH-0000096,2024-01-03,白班,OP003,操作员03,M29;M13,8.37,1.43,True
SH-0000097,2024-01-03,白班,OP023,操作员23,M20;M03;M17,8.26,0.19,True
SH-0000098,2024-01-03,白班,OP030,操作员30,M07,6.98,0.17,False
SH-0000099,2024-01-03,白班,OP030,操作员30,M27;M14,6.79,0.54,True
SH-0000100,2024-01-03,白班,OP020,操作员20,M23;M02;M18,8.46,1.75,True
SH-0000101,2024-01-03,白班,OP016,操作员16,M23;M12;M01,7.19,1.05,True
SH-0000102,2024-01-03,白班,OP016,操作员16,M25;M07,7.69,1.77,True
SH-0000103,2024-01-03,白班,OP017,操作员17,M23,7.59,0.27,True
SH-0000104,2024-01-03,白班,OP003,操作员03,M20;M06;M28,7.45,1.58,True
SH-0000105,2024-01-03,白班,OP029,操作员29,M24;M26,7.47,1.69,True
SH-0000106,2024-01-03,白班,OP044,操作员44,M23,7.12,0.95,True
SH-0000107,2024-01-03,白班,OP044,操作员44,M14,7.89,0.88,True
SH-0000108,2024-01-03,夜班,OP013,操作员13,M09;M19;M15,6.83,1.58,False
SH-0000109,2024-01-03,夜班,OP015,操作员15,M09;M13;M20,7.09,0.12,True
SH-0000110,2024-01-03,夜班,OP002,操作员02,M12,6.5,0.2,True
SH-0000111,2024-01-03,夜班,OP033,操作员33,M11;M15,6.84,0.9,False
SH-0000112,2024-01-03,夜班,OP027,操作员27,M13,7.42,0.2,True
SH-0000113,2024-01-03,夜班,OP018,操作员18,M27;M25;M24,7.46,0.59,True
SH-0000114,2024-01-03,夜班,OP041,操作员41,M15;M12;M28,8.2,0.99,True
SH-0000115,2024-01-03,夜班,OP039,操作员39,M03,6.74,0.75,True
SH-0000116,2024-01-03,夜班,OP019,操作员19,M01;M12;M05,6.84,0.83,True
SH-0000117,2024-01-03,夜班,OP010,操作员10,M26,7.28,0.15,True
SH-0000118,2024-01-03,夜班,OP041,操作员41,M17;M08,7.37,1.59,True
SH-0000119,2024-01-03,夜班,OP019,操作员19,M18;M27,6.81,0.22,True
SH-0000120,2024-01-03,夜班,OP014,操作员14,M29;M07;M01,6.99,1.51,True
SH-0000121,2024-01-03,夜班,OP032,操作员32,M20,8.18,1.18,True
SH-0000122,2024-01-03,夜班,OP046,操作员46,M16;M12,8.02,0.24,True
SH-0000123,2024-01-03,夜班,OP009,操作员09,M21,7.69,0.08,True
SH-0000124,2024-01-03,夜班,OP021,操作员21,M17;M11,7.36,1.83,True
SH-0000125,2024-01-03,晚班,OP044,操作员44,M17;M21,7.72,1.75,True
SH-0000126,2024-01-03,晚班,OP035,操作员35,M03,6.55,0.35,True
