inspection_id,inspection_time,machine_id,sku,sample_size,defect_count,defect_rate,result,main_defect_type,inspector_id,standard
QI-0000001,2024-10-19 22:00:00,M05,VEN-011,131,0,0.0034,PASS,,QC-D,ISO 9001
QI-0000002,2024-11-18 13:00:00,M02,DRH-006,25,0,0.0045,PASS,,QC-B,ISO 9001
QI-0000003,2025-11-11 07:00:00,M19,TLM-024,54,0,0.0047,PASS,,QC-C,客户标准
QI-0000004,2025-01-13 03:00:00,M02,DRH-024,52,0,0.0055,PASS,,QC-A,ISO 9001
QI-0000005,2025-10-18 22:00:00,M01,VEN-018,167,2,0.0129,PASS,飞边,QC-D,ISO 9001
QI-0000006,2025-12-21 20:00:00,M13,VEN-017,157,2,0.0134,PASS,熔接痕,QC-D,IATF 16949
QI-0000007,2024-09-14 02:00:00,M21,TLM-013,121,3,0.0274,FAIL,飞边,QC-A,IATF 16949
QI-0000008,2024-01-30 15:00:00,M05,CUP-001,50,0,0.0053,PASS,,QC-C,ISO 9001
QI-0000009,2024-03-05 12:00:00,M09,DRH-004,56,0,0.0045,PASS,,QC-B,ISO 9001
QI-0000010,2025-11-12 03:00:00,M20,HND-008,197,5,0.0267,PASS,黑点,QC-A,ISO 9001
QI-0000011,2024-07-11 02:00:00,M18,TLM-016,156,1,0.0113,PASS,气泡,QC-A,ISO 9001
QI-0000012,2024-10-22 10:00:00,M17,BUM-024,22,0,0.0315,PASS,,QC-C,IATF 16949
QI-0000013,2024-10-18 13:00:00,M02,CUP-008,93,0,0.0054,PASS,,QC-C,ISO 9001
QI-0000014,2025-05-22 23:00:00,M25,WLC-005,146,0,0.0021,PASS,,QC-C,客户标准
QI-0000015,2026-01-14 23:00:00,M29,LRB-014,42,1,0.0271,PASS,银纹,QC-D,客户标准
QI-0000016,2024-04-27 07:00:00,M05,DRH-002,140,0,0.0037,PASS,,QC-B,客户标准
QI-0000017,2025-05-17 09:00:00,M05,CUP-029,191,2,0.0112,PASS,气泡,QC-B,客户标准
QI-0000018,2024-06-09 17:00:00,M25,WLC-007,194,0,0.0026,PASS,,QC-B,客户标准
QI-0000019,2025-09-18 04:00:00,M11,CUP-029,189,0,0.0034,PASS,,QC-B,客户标准
QI-0000020,2024-02-24 23:00:00,M18,HND-025,77,0,0.0122,PASS,,QC-A,ISO 9001
QI-0000021,2025-08-06 15:00:00,M29,LFR-010,134,2,0.0162,PASS,色差,QC-B,IATF 16949
QI-0000022,2025-02-18 15:00:00,M03,CUP-029,150,7,0.05,PASS,缩痕,QC-B,客户标准
QI-0000023,2026-03-25 01:00:00,M05,VEN-002,128,2,0.0179,FAIL,银纹,QC-D,ISO 9001
QI-0000024,2026-01-31 04:00:00,M10,DRH-023,100,1,0.0101,PASS,尺寸不合格,QC-C,ISO 9001
QI-0000025,2024-02-16 09:00:00,M16,HND-010,71,3,0.05,PASS,缺料,QC-B,IATF 16949
QI-0000026,2024-03-27 21:00:00,M26,LFR-018,49,0,0.0082,PASS,,QC-B,ISO 9001
QI-0000027,2024-02-29 02:00:00,M18,TLM-001,24,0,0.0054,PASS,,QC-B,ISO 9001
QI-0000028,2024-02-19 08:00:00,M26,LFR-007,147,0,0.0065,PASS,,QC-B,IATF 16949
QI-0000029,2025-03-26 03:00:00,M07,DRH-005,187,2,0.0115,FAIL,尺寸不合格,QC-B,ISO 9001
QI-0000030,2025-09-08 11:00:00,M01,CUP-019,194,2,0.0134,PASS,尺寸不合格,QC-D,客户标准
QI-0000031,2025-07-29 14:00:00,M10,CUP-026,175,1,0.006,PASS,熔接痕,QC-D,客户标准
QI-0000032,2024-09-13 11:00:00,M06,VEN-011,197,1,0.0095,FAIL,黑点,QC-B,客户标准
QI-0000033,2025-12-10 20:00:00,M12,DRH-006,162,1,0.0115,PASS,变形,QC-B,IATF 16949
QI-0000034,2024-06-28 23:00:00,M22,HND-011,66,0,0.0128,PASS,,QC-B,IATF 16949
QI-0000035,2024-07-19 20:00:00,M07,DRH-003,70,0,0.0062,PASS,,QC-B,ISO 9001
QI-0000036,2025-07-30 02:00:00,M22,HND-028,127,1,0.0085,PASS,黑点,QC-D,IATF 16949
QI-0000037,2024-08-24 23:00:00,M15,HND-002,191,3,0.0199,PASS,变形,QC-C,客户标准
QI-0000038,2024-07-19 03:00:00,M18,BUM-004,64,0,0.009,PASS,,QC-B,IATF 16949
QI-0000039,2024-05-16 20:00:00,M21,HND-026,185,1,0.0094,FAIL,熔接痕,QC-B,客户标准
QI-0000040,2026-02-19 05:00:00,M22,TLM-020,110,0,0.0012,PASS,,QC-A,客户标准
QI-0000041,2025-12-28 08:00:00,M06,DRH-016,151,1,0.0082,PASS,飞边,QC-B,IATF 16949
QI-0000042,2026-03-05 20:00:00,M10,VEN-017,183,2,0.0128,PASS,银纹,QC-D,IATF 16949
QI-0000043,2024-10-23 07:00:00,M13,VEN-007,150,1,0.0088,FAIL,熔接痕,QC-D,IATF 16949
QI-0000044,2025-05-24 12:00:00,M28,LRB-008,136,0,0.0063,PASS,,QC-A,ISO 9001
QI-0000045,2024-04-25 14:00:00,M29,LFR-006,167,0,0.0051,PASS,,QC-D,客户标准
QI-0000046,2024-01-01 19:00:00,M17,TLM-008,64,2,0.043,PASS,色差,QC-C,IATF 16949
QI-0000047,2025-04-19 16:00:00,M06,DRH-007,21,0,0.016,PASS,,QC-B,客户标准
QI-0000048,2025-05-29 01:00:00,M11,VEN-022,196,4,0.0221,PASS,缩痕,QC-D,ISO 9001
QI-0000049,2025-04-15 12:00:00,M29,LRB-003,54,0,0.0082,PASS,,QC-B,客户标准
QI-0000050,2024-11-28 21:00:00,M02,VEN-018,22,0,0.0119,PASS,,QC-D,客户标准
QI-0000051,2026-03-12 17:00:00,M08,VEN-027,143,0,0.0037,PASS,,QC-A,客户标准
QI-0000052,2025-03-24 06:00:00,M09,VEN-020,35,1,0.0362,PASS,银纹,QC-D,客户标准
QI-0000053,2024-12-10 21:00:00,M17,TLM-003,102,0,0.0026,PASS,,QC-C,ISO 9001
QI-0000054,2024-01-02 09:00:00,M03,VEN-026,156,0,0.0049,PASS,,QC-D,客户标准
QI-0000055,2025-04-16 22:00:00,M16,BUM-027,96,3,0.0323,PASS,尺寸不合格,QC-A,ISO 9001
QI-0000056,2024-10-06 05:00:00,M09,CUP-027,101,0,0.003,PASS,,QC-B,客户标准
QI-0000057,2024-04-14 20:00:00,M20,BUM-016,121,3,0.0328,PASS,变形,QC-A,客户标准
QI-0000058,2025-05-27 06:00:00,M28,LRB-006,121,0,0.0055,PASS,,QC-D,客户标准
QI-0000059,2024-03-27 00:00:00,M08,VEN-018,37,0,0.0079,PASS,,QC-B,客户标准
QI-0000060,2024-01-08 19:00:00,M04,CUP-026,159,3,0.0195,PASS,银纹,QC-B,ISO 9001
QI-0000061,2025-07-26 08:00:00,M13,VEN-028,114,0,0.0018,PASS,,QC-A,ISO 9001
QI-0000062,2024-03-18 10:00:00,M05,DRH-022,76,0,0.0033,PASS,,QC-B,ISO 9001
QI-0000063,2025-07-09 17:00:00,M22,HND-028,162,1,0.0118,PASS,色差,QC-B,ISO 9001
QI-0000064,2024-12-09 13:00:00,M05,VEN-024,65,0,0.0034,PASS,,QC-C,ISO 9001
QI-0000065,2026-01-07 13:00:00,M13,VEN-030,141,2,0.0179,PASS,缩痕,QC-B,ISO 9001
QI-0000066,2025-01-03 14:00:00,M16,HND-024,53,0,0.0084,PASS,,QC-B,客户标准
QI-0000067,2025-11-23 03:00:00,M14,BUM-010,200,0,0.0023,PASS,,QC-A,IATF 16949
QI-0000068,2024-02-14 20:00:00,M12,VEN-020,94,3,0.0405,PASS,熔接痕,QC-B,IATF 16949
QI-0000069,2025-07-21 13:00:00,M02,CUP-019,183,9,0.05,PASS,黑点,QC-A,IATF 16949
QI-0000070,2025-05-05 16:00:00,M10,DRH-005,73,0,0.007,PASS,,QC-D,IATF 16949
QI-0000071,2024-04-19 10:00:00,M07,VEN-017,64,1,0.0157,PASS,缩痕,QC-A,IATF 16949
QI-0000072,2026-03-01 03:00:00,M07,CUP-019,51,2,0.05,PASS,黑点,QC-B,IATF 16949
QI-0000073,2024-06-29 02:00:00,M20,HND-024,31,0,0.0054,PASS,,QC-C,ISO 9001
QI-0000074,2024-07-25 17:00:00,M22,BUM-015,127,1,0.0088,PASS,尺寸不合格,QC-C,IATF 16949
QI-0000075,2025-10-26 22:00:00,M21,BUM-021,106,1,0.0107,PASS,熔接痕,QC-D,IATF 16949
QI-0000076,2025-10-08 15:00:00,M19,HND-020,49,1,0.0323,PASS,缺料,QC-C,IATF 16949
QI-0000077,2024-05-30 01:00:00,M12,VEN-014,199,2,0.0143,PASS,飞边,QC-A,ISO 9001
QI-0000078,2024-08-01 16:00:00,M26,LFR-006,121,0,0.0051,PASS,,QC-C,客户标准
QI-0000079,2025-11-25 23:00:00,M19,BUM-013,113,2,0.0224,PASS,气泡,QC-D,ISO 9001
QI-0000080,2024-09-03 07:00:00,M24,DUO-020,112,0,0.0045,PASS,,QC-B,IATF 16949
QI-0000081,2025-04-05 10:00:00,M25,DUO-020,39,1,0.0467,PASS,飞边,QC-A,客户标准
QI-0000082,2026-04-06 21:00:00,M22,BUM-020,26,0,0.0037,PASS,,QC-D,IATF 16949
QI-0000083,2026-01-05 19:00:00,M12,CUP-015,42,0,0.0104,PASS,,QC-B,客户标准
QI-0000084,2026-04-16 06:00:00,M13,CUP-018,200,3,0.0152,PASS,色差,QC-D,ISO 9001
QI-0000085,2024-05-15 19:00:00,M26,LFR-005,44,0,0.0144,PASS,,QC-B,ISO 9001
QI-0000086,2024-07-24 12:00:00,M29,LRB-002,179,2,0.0118,PASS,缺料,QC-C,ISO 9001
QI-0000087,2026-01-27 10:00:00,M17,BUM-011,194,0,0.0006,PASS,,QC-D,IATF 16949
QI-0000088,2025-08-09 19:00:00,M24,DUO-010,45,0,0.0016,PASS,,QC-C,客户标准
