timestamp,machine_id,nozzle_temp_C,oil_temp_C,injection_pressure_bar,clamp_force_pct,injection_speed_m_s,cycle_time_s,power_kw,status
2026-04-01 00:00:00,M28,239.6,43.6,190.3,51.0,1.185,26.51,26.43,正常
2026-04-01 00:00:30,M27,235.3,64.9,92.8,67.2,1.2,11.97,44.05,正常
2026-04-01 00:01:00,M26,272.2,51.5,87.6,78.9,1.318,26.96,65.66,异常
2026-04-01 00:01:30,M26,266.6,53.0,80.4,79.8,1.205,42.74,66.44,正常
2026-04-01 00:02:00,M22,209.2,44.6,188.6,92.1,1.28,22.57,32.33,正常
2026-04-01 00:02:30,M14,238.1,54.8,85.5,59.9,1.248,17.71,38.12,正常
2026-04-01 00:03:00,M07,269.8,40.9,166.3,87.5,1.422,20.93,43.23,正常
2026-04-01 00:03:30,M10,259.5,61.5,177.8,67.6,1.39,13.9,23.29,正常
2026-04-01 00:04:00,M02,191.8,57.0,195.0,64.0,1.059,18.76,31.76,异常
2026-04-01 00:04:30,M23,247.7,56.5,181.7,54.4,1.23,32.07,58.02,正常
2026-04-01 00:05:00,M10,239.7,64.1,125.9,67.0,1.279,28.28,16.48,正常
2026-04-01 00:05:30,M08,255.4,41.5,145.4,95.0,1.496,12.85,74.08,正常
2026-04-01 00:06:00,M17,225.8,55.3,137.5,46.5,1.133,12.01,62.59,正常
2026-04-01 00:06:30,M12,215.1,64.5,127.9,59.3,1.374,21.07,62.28,正常
2026-04-01 00:07:00,M05,229.9,43.2,196.9,71.2,1.437,21.95,17.86,正常
2026-04-01 00:07:30,M17,204.4,47.9,101.0,80.7,1.294,15.47,54.83,警告
2026-04-01 00:08:00,M18,271.8,40.7,116.3,72.0,1.494,26.72,46.85,正常
2026-04-01 00:08:30,M05,258.4,43.4,102.6,86.1,1.063,31.88,78.18,正常
2026-04-01 00:09:00,M28,281.4,43.5,164.8,82.5,0.922,44.67,37.5,正常
2026-04-01 00:09:30,M23,235.2,53.5,81.3,94.8,1.122,16.48,21.11,正常
2026-04-01 00:10:00,M03,208.5,62.1,189.4,65.8,1.462,40.29,59.72,正常
2026-04-01 00:10:30,M21,243.3,52.7,155.1,71.9,0.997,30.17,33.24,警告
2026-04-01 00:11:00,M03,223.0,58.5,105.5,70.4,1.027,19.57,30.17,异常
2026-04-01 00:11:30,M10,280.7,59.8,154.6,63.5,1.488,23.84,69.45,警告
2026-04-01 00:12:00,M03,203.9,42.7,164.7,76.5,0.813,36.96,33.81,正常
2026-04-01 00:12:30,M29,235.0,43.8,198.0,83.5,1.209,29.06,26.92,正常
2026-04-01 00:13:00,M27,232.3,53.7,92.9,89.5,1.26,31.07,51.8,正常
2026-04-01 00:13:30,M13,238.5,43.3,185.6,71.5,1.475,18.89,78.2,正常
2026-04-01 00:14:00,M20,203.1,52.2,192.5,53.9,1.11,10.62,62.18,正常
2026-04-01 00:14:30,M11,213.1,53.5,80.9,50.3,1.416,13.67,54.94,正常
2026-04-01 00:15:00,M12,225.0,46.6,140.4,65.5,0.848,15.13,45.74,正常
2026-04-01 00:15:30,M22,186.2,42.6,151.9,85.6,1.02,21.63,56.05,正常
2026-04-01 00:16:00,M27,207.4,50.3,99.1,63.5,1.418,18.04,41.38,正常
2026-04-01 00:16:30,M22,218.7,63.0,157.7,52.0,0.996,32.05,43.82,正常
2026-04-01 00:17:00,M18,212.7,60.5,157.3,52.4,1.031,34.5,69.71,正常
2026-04-01 00:17:30,M26,283.2,41.2,172.7,45.1,1.34,28.55,79.02,警告
2026-04-01 00:18:00,M07,191.8,50.3,145.5,86.0,1.06,20.39,54.61,正常
2026-04-01 00:18:30,M10,237.5,42.4,194.9,73.2,1.27,38.1,40.67,正常
2026-04-01 00:19:00,M27,267.8,44.7,161.5,75.4,0.858,27.6,74.7,异常
2026-04-01 00:19:30,M19,257.7,50.4,124.5,89.2,1.29,22.67,58.84,正常
2026-04-01 00:20:00,M24,205.0,59.4,160.6,73.1,1.375,43.18,68.78,正常
2026-04-01 00:20:30,M15,182.8,47.7,107.3,54.6,0.845,15.77,78.87,正常
2026-04-01 00:21:00,M06,199.8,64.6,87.6,76.0,1.357,23.64,65.31,异常
2026-04-01 00:21:30,M22,275.3,55.4,82.8,90.2,1.191,15.58,34.05,正常
2026-04-01 00:22:00,M06,214.2,59.7,173.4,46.4,0.849,22.67,64.06,正常
2026-04-01 00:22:30,M26,223.2,61.1,86.1,70.4,1.177,8.87,53.81,正常
2026-04-01 00:23:00,M26,261.5,59.8,127.7,45.6,0.823,25.73,31.04,异常
2026-04-01 00:23:30,M21,272.2,56.4,115.9,46.6,1.334,12.96,35.87,正常
2026-04-01 00:24:00,M05,227.9,55.8,123.9,49.5,1.178,34.82,48.55,正常
2026-04-01 00:24:30,M26,211.3,64.5,131.0,88.7,1.18,18.97,27.03,正常
2026-04-01 00:25:00,M03,213.2,43.3,149.4,81.0,1.236,11.99,31.58,正常
2026-04-01 00:25:30,M15,244.4,43.2,185.2,49.4,1.391,13.38,17.23,警告
2026-04-01 00:26:00,M09,249.1,43.7,149.7,93.8,0.866,11.39,20.92,正常
2026-04-01 00:26:30,M27,202.2,51.6,172.3,45.6,1.294,31.02,39.75,异常
2026-04-01 00:27:00,M03,276.8,44.1,184.0,73.2,1.336,23.01,53.72,正常
2026-04-01 00:27:30,M21,183.7,52.8,150.1,46.3,1.377,24.89,66.11,正常
2026-04-01 00:28:00,M23,218.7,64.5,97.1,69.8,0.85,8.32,24.61,正常
2026-04-01 00:28:30,M03,212.3,50.6,157.2,69.1,1.445,31.17,24.84,正常
2026-04-01 00:29:00,M03,232.6,64.3,129.5,89.0,1.206,18.61,70.0,正常
2026-04-01 00:29:30,M15,200.3,47.3,157.5,56.8,1.438,18.32,41.08,警告
2026-04-01 00:30:00,M02,235.1,53.3,193.6,72.2,1.254,9.16,66.37,正常
2026-04-01 00:30:30,M14,187.0,43.1,196.3,84.6,0.84,43.31,18.26,正常
2026-04-01 00:31:00,M22,225.4,61.9,161.8,57.9,1.419,28.74,64.27,正常
2026-04-01 00:31:30,M03,184.6,58.8,154.1,85.5,1.024,16.44,19.29,正常
2026-04-01 00:32:00,M22,247.5,44.6,109.6,60.5,1.267,30.32,33.75,正常
2026-04-01 00:32:30,M08,234.9,63.2,184.2,91.2,1.346,12.27,79.55,正常
2026-04-01 00:33:00,M24,230.2,47.8,108.4,90.0,1.103,32.03,27.41,正常
2026-04-01 00:33:30,M11,259.5,47.7,158.9,90.3,1.167,21.64,59.69,正常
2026-04-01 00:34:00,M22,283.3,40.4,81.0,85.5,1.14,41.57,27.84,异常
2026-04-01 00:34:30,M18,250.8,53.5,120.4,58.7,1.177,30.26,47.69,正常
2026-04-01 00:35:00,M15,279.6,62.5,105.9,66.5,1.35,16.73,22.04,正常
2026-04-01 00:35:30,M07,190.7,43.6,88.0,93.1,0.916,11.84,72.28,正常
2026-04-01 00:36:00,M19,254.9,58.0,100.4,58.3,1.195,36.04,78.91,正常
2026-04-01 00:36:30,M19,276.9,62.1,185.9,88.3,1.1,18.93,64.93,异常
2026-04-01 00:37:00,M25,270.1,58.7,162.6,58.9,1.146,16.35,59.2,正常
2026-04-01 00:37:30,M28,229.6,55.1,153.2,77.6,0.991,26.26,46.39,正常
2026-04-01 00:38:00,M24,269.5,54.7,147.9,85.8,1.275,30.7,58.18,正常
2026-04-01 00:38:30,M27,279.3,64.7,96.8,92.3,1.379,39.12,57.08,正常
2026-04-01 00:39:00,M24,183.4,46.9,144.6,72.5,0.953,32.92,64.98,正常
2026-04-01 00:39:30,M17,244.2,46.1,150.6,80.7,1.261,17.38,45.49,警告
2026-04-01 00:40:00,M16,213.4,56.9,122.2,63.0,1.405,29.99,17.52,正常
2026-04-01 00:40:30,M07,253.2,40.3,166.4,69.7,1.188,36.39,38.47,正常
